filer_name	ID	filer_description
Gilliam County Democrats	308	Political Party|Democrat
Gilliam County Republican Central Committee	309	Political Party|Republican
Gilliam, Vic|Friends of Vic Gilliam	5690	State Representative, 18th District|Republican
Girod, Fred|Friends of Fred Girod	5458	State Senator, 9th District|Republican
Goche, Richard (Rick)|Friends of Rick Goche	12723	Commissioner, Port of Bandon, Position 1|Nonpartisan
Grant County Democratic Central Committee	13185	Political Party|Democrat
Grant, Jenefer|Committee to Retain Judge Grant	12842	Judge of the Circuit Court, 19th District, Position 3|Nonpartisan
Grants Pass Josephine County Chamber Supporting Local Commerce	9026	Miscellaneous
Greenlick, Mitch|Mitch Greenlick for State Legislature	3362	State Representative, 33rd District|Democrat
Gresham Professional Firefighters PAC	4573	Miscellaneous
Hanlin, John|John Hanlin for Sheriff	12549	County Sheriff, Douglas County|Nonpartisan
Harker, Chris|Friends of Chris Harker	13163	State Representative, 34th District|Democrat
Harney County Republican Central Committee	2196	Political Party|Republican
Haroldson, John|JOHN HAROLDSON FOR DISTRICT ATTORNEY	12722	District Attorney, Benton County|Nonpartisan
Harvey, Art|Art Harvey for County Clerk	12459	County Clerk, Josephine County|Nonpartisan
Hass, Mark|Friends of Mark Hass	11487	State Senator, 14th District|Democrat
Healthy Teeth for a Lifetime	6485	Miscellaneous
HearPAC	4420	Miscellaneous
Henderson, Linda|Henderson4Mayor	13561	Mayor, City of Sherwood|Nonpartisan
HOLVEY, PAUL|Paul Holvey for State Representative	4788	State Representative, 8th District|Democrat
Hood River County Democratic Central Committee	312	Political Party|Democrat
Hood River County Republican Central Committee	313	Political Party|Republican
Hooker, Robert|Friends of Bob Hooker	13408	Mayor, City of Creswell|Nonpartisan
Hosticka, Carl|Friends of Carl Hosticka	12614	State Representative, 37th District|Democrat
Housing Alliance PAC	12545	Miscellaneous
Hovekamp, Nathan|Friends of Nathan R. Hovekamp	12527	Director, Bend Metro Park & Recreation District, Position 3|Nonpartisan
Hunt, Dave|Friends of Dave Hunt	4247	Director, Clackamas Community College, Zone 3|Nonpartisan
IAFF #1431 Medford Fire Fighters PAC	1318	Miscellaneous
IAFF #3564 PAC Fund	6724	Miscellaneous
Independent Medical Examination PAC	5072	Miscellaneous
Independent Oregon	7308	Political Party|Independent
Injured Workers' Alliance	4107	Miscellaneous
International Brotherhood of Electrical Workers Local 280 PAC	5214	Miscellaneous
International Union of Operating Engineers Local 701 Misc PAC	2452	Miscellaneous
Iron Workers District Council of the Pacific Northwest	3816	Miscellaneous
Jackson County Democratic Central Committee	314	Political Party|Democrat
Jackson County Republican Central Committee	315	Political Party|Republican
Jefferson County Democratic Central Committee	316	Political Party|Democrat
JEFFERSON COUNTY REPUBLICAN PARTY	317	Political Party|Republican
Jenkins, Dana|Jenkins For County Clerk Committee	8806	County Clerk, Lincoln County|Nonpartisan
Jenson, Bob|Committee to Re-Elect Bob Jenson	2362	State Representative, 58th District|Republican
Johnson, Elizabeth (Betsy)|Committee to Elect Betsy Johnson	3591	State Senator, 16th District|Democrat
Josephine County Democratic Central Committee	318	Political Party|Democrat
Keep Lake Oswego Great	13290	Miscellaneous
Keizer, Teddy|Friends of Teddy Keizer	12468	State Representative, 42nd District|Democrat
Kim, Dave|Dave Kim for Senate	13106	State Senator, 25th District|Republican
King, Bill|Friends of Bill King	13559	County Commissioner, Clackamas County, Position 4|Nonpartisan
Klamath County Democratic Central Committee	320	Political Party|Democrat
Klamath County Republican Central Committee	321	Political Party|Republican
Knapp, Tim|Tim Knapp for Mayor	13037	Mayor, City of Wilsonville|Nonpartisan
Konopa, Sharon|Albany Friends of Sharon Konopa	13237	Mayor, City of Albany|Nonpartisan
Krieger, Wayne|Wayne Krieger for State Representative	3477	State Representative, 1st District|Republican
Kroger, John|John Kroger for Attorney General	11528	Attorney General|Democrat
Kruse, Jeff|Committee to Elect Jeff Kruse	2278	State Senator, 1st District|Republican
Lane County Republican Central Committee	325	Political Party|Republican
Lehan, Charlotte|Friends of Charlotte Lehan	12529	County Commissioner, Clackamas County, Position 1, Chair|Nonpartisan
Leiken, Sid|Sid Leiken for Oregon	12786	County Commissioner, Lane County, Springfield, Position 2|Nonpartisan
Libertarian Party of Oregon	622	Political Party|Libertarian
Libertarian Party of Washington County	4608	Political Party|Libertarian
Lincoln County Democratic Central Committee	326	Political Party|Democrat
Lincoln County Republican Central Committee	327	Political Party|Republican
lindsey, john|The Lindsey Fund	6945	County Commissioner, Linn County, Position 1|Republican
Linn Benton Chapter of the Pacific Green Party	4737	Political Party|Pacific Green
Linn County Republican Central Committee	329	Political Party|Republican
Low Income Dental Political Action Committee	3598	Miscellaneous
"Main, Robert|Committee to elect Robert ""Bob"" Main Coos County Commissioner"	12563	County Commissioner, Coos County, Position 1|Nonpartisan
Malheur County Democratic Central Committee	330	Political Party|Democrat
Malheur County Republican Central Committee	331	Political Party|Republican
Marion County Democratic Central Committee	332	Political Party|Democrat
Marion County Republican Central Committee	333	Political Party|Republican
Matthews, Greg|Friends of Greg Matthews	12891	State Representative, 50th District|Democrat
McKeel, Diane|Committee to Elect Diane McKeel for Multnomah County Commissioner	12500	County Commissioner, Multnomah County, District 4|Nonpartisan
McKnight, Maureen|Reelect Judge Maureen McKnight	12919	Judge of the Circuit Court, 4th District, Position 13|Nonpartisan
Milesnick, Robert|Friends of Rob Milesnick	10447	County Commissioner, Multnomah County, District 3|Nonpartisan
Money Is Not Democracy	4630	Miscellaneous
Monnes Anderson, Laurie|Friends of Laurie Monnes Anderson	3584	State Senator, 25th District|Democrat
Monroe, W. Rod|Friends of Rod Monroe	5319	State Senator, 24th District|Democrat
Mortgage Industry for Responsible Government	97	Miscellaneous
Multnomah County Democratic Central Committee	335	Political Party|Democrat
Multnomah County Republican Central Committee	336	Political Party|Republican
NAIFA-Oregon PAC	3698	Miscellaneous
Naral Pro-Choice Oregon PAC	172	Miscellaneous
Nathanson, Nancy|Friends of Nancy Nathanson	5152	State Representative, 13th District|Democrat
National Federation of Independent Business Oregon Political Action Committee	101	Miscellaneous
Natural Gas Political Action Committee	102	Miscellaneous
Nelsen, John|Friends of John Nelsen	12536	State Representative, 49th District|Republican
Nelson, David|Friends of David Nelson	2367	State Senator, 28th District|Republican
New Covenant PAC	4566	Miscellaneous
Northwest Sportfishing Industry Association PAC	5192	Miscellaneous
NUCA of Oregon & SW Washington PAC - Northwest Utility Contractors Association PAC	4747	Miscellaneous
Nurses United Political Action Committee	12987	Miscellaneous
OEA-PAC	142	Miscellaneous
Olson, Andy|Friends of Andy Olson	4831	State Representative, 15th District|Republican
Opportunity PAC	5542	Miscellaneous
Oral and Maxillofacial Surgeons Political Action Committee of Oregon	3860	Miscellaneous
Oregon Action Committee for Rural Electrification	117	Miscellaneous
Oregon American Federation of Labor-Congress of Industrial Organizations Committee on Political Education	32	Miscellaneous
Oregon Association of Broadcasters Political Action Committee	3100	Miscellaneous
Oregon Association of Defense Counsel State PAC	13468	Miscellaneous
Oregon Association of Health Underwriters PAC	3171	Miscellaneous
Oregon Association of Independent Accountants PAC	123	Miscellaneous
Oregon Automobile Dealers Association - Political Action Committee	133	Miscellaneous
Oregon Bankers PAC	125	Miscellaneous
Oregon Beverage PAC	126	Miscellaneous
Oregon Business & Industry Candidate PAC	10	Miscellaneous
Oregon Business & Industry Issues PAC	3073	Miscellaneous
Oregon Cattle PAC	5410	Miscellaneous
Oregon Certified Public Accountants Legislative Action Committee	130	Miscellaneous
Oregon City Police Officers Association Political Action Committee	1838	Miscellaneous
Oregon City Smart Growth	13508	Measure|Opposes Measure 3-331 - 2008|Opposes Measure 3-332 - 2008|Opposes Measure 3-333 - 2008
Oregon Climate PAC	12844	Miscellaneous
Oregon Community College PAC	4382	Miscellaneous
Oregon Concrete & Aggregate Producers Association PAC	134	Miscellaneous
Oregon Contractor's Association Political Action Committee	13124	Miscellaneous
Oregon Council of NECA Chapters	135	Miscellaneous
Oregon Council of Police Associations - PAC	136	Miscellaneous
Oregon Criminal Defense Lawyers Assn PAC	138	Miscellaneous
Oregon Dealer Political Action Committee	12943	Miscellaneous
Oregon Faculties Political Action Committee	145	Miscellaneous
Oregon Family Council PAC	2189	Miscellaneous
Oregon Farm Bureau Political Action Committee	147	Miscellaneous
Oregon Federation of College Republicans	4586	Miscellaneous
Oregon Financial Services Association PAC	5115	Miscellaneous
Oregon Firearms Federation PAC	3865	Miscellaneous
Oregon Food Political Action Committee	153	Miscellaneous
Oregon Forest Industries Council Political Action Committee	154	Miscellaneous
Oregon Funeral Directors Association PAC	414	Miscellaneous
Oregon Gun Owners PAC	159	Miscellaneous
Oregon Health Care Association PAC	275	Miscellaneous
Oregon Hospital Political Action Committee	161	Miscellaneous
Oregon Hunters Alliance	4014	Miscellaneous
Oregon Independent Automobile Dealers Association	3077	Miscellaneous
Oregon Insurance Political Action Committee	164	Miscellaneous
Oregon Landscape Contractors Association PAC	2894	Miscellaneous
Oregon Manufactured Housing Political Support Committee	169	Miscellaneous
Oregon Mortgage Broker PAC	2549	Miscellaneous
Oregon Nurse Anesthetist PAC	3099	Miscellaneous
