committee_name,committee_description,effective,expiration,filing_type,committee_id
Sierra Club Political Committee-Oregon,Miscellaneous,10/28/1992,02/27/1994,Amendment,252
Sierra Club Political Committee-Oregon,Miscellaneous,03/09/1992,10/27/1992,Amendment,252
Sierra Club Committee on Political Education-Oregon Fund,Miscellaneous,04/16/1990,03/08/1992,Amendment,252
Sierra Club Committee on Political Education,Miscellaneous,03/04/1988,04/15/1990,Amendment,252
Sierra Club Committee on Political Education,Miscellaneous,06/20/1986,03/03/1988,Amendment,252
Sierra Club Committee on Political Education,Miscellaneous,04/02/1984,06/19/1986,Original,252
Oregonians for Affordable Housing,Miscellaneous,11/01/2017,,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,08/01/2017,11/01/2017,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,12/06/2016,08/01/2017,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,07/12/2016,12/06/2016,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,03/24/2011,07/12/2016,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,02/22/2010,03/24/2011,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,10/28/2009,02/22/2010,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,04/02/2008,10/27/2009,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,03/02/2004,04/01/2008,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,09/29/1997,03/01/2004,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,06/10/1996,09/28/1997,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,09/13/1995,06/09/1996,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,08/28/1995,09/12/1995,Amendment,2069
Oregonians for Affordable Housing,Miscellaneous,12/05/1994,08/27/1995,Original,2069
Oregonians in Action PAC,Miscellaneous,03/22/2018,,Amendment,2793
Oregonians in Action PAC,Miscellaneous,01/22/2017,03/22/2018,Amendment,2793
Oregonians in Action PAC,Miscellaneous,12/08/2015,01/22/2017,Amendment,2793
Oregonians in Action PAC,Miscellaneous,01/03/2014,12/08/2015,Amendment,2793
Oregonians in Action PAC,Miscellaneous,03/26/2013,01/03/2014,Amendment,2793
Oregonians in Action PAC,Miscellaneous,01/04/2012,03/26/2013,Amendment,2793
Oregonians in Action PAC,Miscellaneous,05/30/2010,01/04/2012,Amendment,2793
Oregonians in Action PAC,Miscellaneous,01/09/2008,05/30/2010,Amendment,2793
Oregonians in Action PAC,Miscellaneous,10/15/2007,01/08/2008,Amendment,2793
Oregonians in Action PAC,Miscellaneous,07/24/2007,10/14/2007,Amendment,2793
Oregonians in Action PAC,Miscellaneous,01/03/2006,07/23/2007,Amendment,2793
Oregonians in Action PAC,Miscellaneous,03/23/2004,01/02/2006,Amendment,2793
Oregonians in Action PAC,Miscellaneous,12/30/2002,03/22/2004,Amendment,2793
Oregonians in Action PAC,Miscellaneous,07/15/2002,12/29/2002,Amendment,2793
Oregonians in Action PAC,Miscellaneous,03/21/2002,07/14/2002,Amendment,2793
Oregonians in Action PAC,Miscellaneous,11/06/2000,03/20/2002,Amendment,2793
Oregonians in Action Political Action Committee,Miscellaneous,10/23/2000,11/05/2000,Amendment,2793
Oregonians in Action - Political Action Committee,Miscellaneous,10/27/1997,10/22/2000,Original,2793
Oregonians to Maintain Community Standards,Miscellaneous,09/07/2016,,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,01/21/2015,09/07/2016,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,04/29/2013,01/21/2015,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,10/12/2011,04/29/2013,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,01/15/2010,10/12/2011,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,10/14/2009,01/15/2010,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,06/10/2008,10/13/2009,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,03/04/2008,06/09/2008,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,10/17/2007,03/03/2008,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,03/24/2007,10/16/2007,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,02/20/2007,03/23/2007,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,01/22/2007,02/19/2007,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,04/07/2006,01/21/2007,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,12/16/2005,04/06/2006,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,08/16/2004,12/15/2005,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,07/07/2004,08/15/2004,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,03/16/2004,07/06/2004,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,10/09/2002,03/15/2004,Amendment,1579
Oregonians to Maintain Community Standards,Miscellaneous,08/22/2002,10/08/2002,Amendment,1579
Oregonians to Maintain Community Standards,Measure Supports Measure 10 - 2002 Supports Measure 11 - 2002,04/10/2002,08/21/2002,Amendment,1579
Oregonians to Maintain Community Standards,Measure Opposes Measure 92 - 2000 Opposes Measure 98 - 2000,08/22/2000,04/09/2002,Amendment,1579
Oregonians to Maintain Community Standards,Measure Supports Measure 68 - 1999 Supports Measure 76 - 1999,10/18/1999,08/21/2000,Amendment,1579
Oregonians to Maintain Community Standards,Measure Supports Measure 68 - 1999,09/09/1999,10/17/1999,Amendment,1579
Oregonians to Maintain Community Standards,Measure Opposes Measure 59 - 1998,05/06/1999,09/08/1999,Amendment,1579
Oregonians to Maintain Community Standards,Measure Opposes Measure 59 - 1998,08/18/1998,05/05/1999,Amendment,1579
Oregonians to Maintain Community Standards,Measure Supports Measure 24 - 1996,04/29/1996,08/17/1998,Amendment,1579
Oregonians to Maintain Community Standards,Measure Opposes Measure 12 - 1994,09/12/1994,04/28/1996,Amendment,1579
Oregonians to Maintain Community Standards,Measure,10/21/1993,09/11/1994,Original,1579
PAC 483,Miscellaneous,04/02/2018,,Amendment,1869
PAC 483,Miscellaneous,04/01/2018,04/02/2018,Amendment,1869
PAC 483,Miscellaneous,10/08/2015,04/01/2018,Amendment,1869
PAC 483,Miscellaneous,12/09/2014,10/08/2015,Amendment,1869
PAC 483,Miscellaneous,12/31/2009,12/09/2014,Amendment,1869
PAC 483,Miscellaneous,12/17/2009,12/30/2009,Amendment,1869
PAC 483,Miscellaneous,04/28/2009,12/16/2009,Amendment,1869
PAC 483,Measure Opposes Measure 59 - 2008 Opposes Measure 64 - 2008,11/26/2008,04/27/2009,Amendment,1869
PAC 483,Measure Opposes Measure 59 - 2008 Opposes Measure 64 - 2008,08/22/2008,11/25/2008,Amendment,1869
PAC 483,Measure Opposes Measure 41 - 2006,01/18/2008,08/21/2008,Amendment,1869
PAC 483,Miscellaneous,03/05/2007,01/17/2008,Amendment,1869
PAC 483,Measure Opposes Measure 41 - 2006 Opposes Measure 48 - 2006,08/21/2006,03/04/2007,Amendment,1869
PAC 483,Measure Opposes Measure 35 - 2004 Opposes Measure 37 - 2004 Opposes Measure 38 - 2004 Opposes Measure 36 - 2004,03/28/2006,08/20/2006,Amendment,1869
PAC 483,Measure Opposes Measure 35 - 2004 Opposes Measure 37 - 2004 Opposes Measure 38 - 2004 Opposes Measure 36 - 2004,09/22/2005,03/27/2006,Amendment,1869
PAC 483,Measure Opposes Measure 35 - 2004 Opposes Measure 37 - 2004 Opposes Measure 38 - 2004 Opposes Measure 36 - 2004,10/06/2004,09/21/2005,Amendment,1869
PAC 483,Measure Opposes Measure 35 - 2004 Opposes Measure 37 - 2004 Opposes Measure 38 - 2004,09/02/2004,10/05/2004,Amendment,1869
PAC 483,Measure Supports Measure 26 - 2002 Supports Measure 25 - 2002,10/29/2002,09/01/2004,Amendment,1869
PAC 483,Measure Supports Measure 26 - 2002 Supports Measure 25 - 2002,09/06/2002,10/28/2002,Amendment,1869
PAC 483,Measure Supports Measure 25 - 2002 Supports Measure 26 - 2002,06/07/2002,09/05/2002,Amendment,1869
PAC 483,Measure Opposes Measure 98 - 2000 Opposes Measure 92 - 2000,02/11/2002,06/06/2002,Amendment,1869
PAC 483,Measure Opposes Measure 92 - 2000 Opposes Measure 98 - 2000,09/10/2001,02/10/2002,Amendment,1869
PAC 483,Measure Opposes Measure 92 - 2000 Opposes Measure 98 - 2000,07/23/2001,09/09/2001,Amendment,1869
PAC 483,Measure Opposes Measure 92 - 2000 Opposes Measure 98 - 2000,11/30/2000,07/22/2001,Amendment,1869
PAC 483,Measure Opposes Measure 92 - 2000 Opposes Measure 98 - 2000,08/16/2000,11/29/2000,Amendment,1869
PAC 483,Measure Opposes Measure 81 - 2000,02/16/2000,08/15/2000,Amendment,1869
PAC 483,Measure Opposes Measure 59 - 1998 Supports Measure 62 - 1998,12/02/1998,02/15/2000,Amendment,1869
PAC 483,Measure Opposes Measure 59 - 1998 Supports Measure 62 - 1998,09/15/1998,12/01/1998,Amendment,1869
PAC 483,Measure Supports Measure 53 - 1998,04/13/1998,09/14/1998,Amendment,1869
PAC 483,Measure Opposes Measure 45 - 1996 Opposes Measure 47 - 1996,10/22/1996,04/12/1998,Amendment,1869
PAC 483,Measure Opposes Measure 45 - 1996,10/11/1996,10/21/1996,Amendment,1869
PAC 483,Measure Opposes Measure 25 - 1996,11/09/1995,10/10/1996,Amendment,1869
PAC 483,Miscellaneous,10/09/1994,11/08/1995,Amendment,1869
PAC 483,Miscellaneous,05/03/1994,10/08/1994,Original,1869
Pacific Green Party of Oregon,Political PartyPacific Green,01/23/2018,,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,02/02/2017,01/23/2018,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,12/04/2015,02/02/2017,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/28/2014,12/04/2015,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,02/04/2014,04/28/2014,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,03/27/2012,02/04/2014,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,08/25/2011,03/27/2012,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/21/2011,08/25/2011,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/28/2011,06/21/2011,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/12/2011,04/28/2011,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/09/2011,04/12/2011,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,01/28/2009,04/09/2011,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/20/2008,01/27/2009,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,01/31/2008,06/19/2008,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,12/12/2007,01/30/2008,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,09/27/2007,12/11/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,08/24/2007,09/26/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/29/2007,08/23/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/30/2007,06/28/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/11/2007,04/29/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,03/27/2007,04/10/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,01/30/2007,03/26/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,12/01/2006,01/29/2007,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,10/30/2006,11/30/2006,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/26/2006,10/29/2006,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,07/06/2005,06/25/2006,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/25/2005,07/05/2005,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,02/09/2005,04/24/2005,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,12/17/2004,02/08/2005,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,09/19/2004,12/16/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,09/02/2004,09/18/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,08/31/2004,09/01/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/14/2004,08/30/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,02/06/2004,06/13/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,12/11/2003,02/05/2004,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,11/20/2003,12/10/2003,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,07/14/2003,11/19/2003,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,09/03/2002,07/13/2003,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,04/23/2002,09/02/2002,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,06/21/2001,04/22/2002,Amendment,765
Pacific Green Party of Oregon,Political PartyPacific Green,02/16/1999,06/20/2001,Amendment,765
Pacific Party,Political PartyPacific Green,10/06/1998,02/15/1999,Amendment,765
Pacific Party Pac,Political PartyPacific Green,12/02/1997,10/05/1998,Amendment,765
Pacific Party Pac,Political PartyPacific Green,09/05/1997,12/01/1997,Amendment,765
Pacific Party Pac,Political PartyPacific Green,09/16/1996,09/04/1997,Amendment,765
Pacific Party,Political PartyPacific Green,10/20/1995,09/15/1996,Amendment,765
Pacific Party Pac,Political PartyPacific Green,02/05/1993,10/19/1995,Amendment,765
Pacific Party Pac,Political PartyPacific Green,11/10/1992,02/04/1993,Amendment,765
Pacific Party Pac,Political PartyPacific Green,06/15/1992,11/09/1992,Amendment,765
Pacific Party-Pac,Political PartyPacific Green,04/05/1991,06/14/1992,Amendment,765
Pacific Party-Pac,Political PartyPacific Green,03/29/1991,04/04/1991,Original,765
Parent's Education Association P.A.C.,Miscellaneous,11/06/2017,,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,05/15/2017,11/06/2017,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,10/31/2014,05/15/2017,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,10/22/2012,10/31/2014,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/29/2010,10/22/2012,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/24/2010,09/29/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,07/30/2010,09/24/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,01/28/2010,07/30/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,01/11/2010,01/28/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,01/08/2010,01/11/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,11/01/2009,01/08/2010,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/24/2008,10/31/2009,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,10/10/2007,09/23/2008,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,10/09/2007,10/09/2007,Amendment,216
Parent's Education Association P.A.C.,Measure Supports Measure 39 - 2006 Supports Measure 41 - 2006 Supports Measure 43 - 2006 Supports Measure 48 - 2006 Supports Measure 40 - 2006 Supports Measure 44 - 2006 Opposes Measure 42 - 2006 Opposes Measure 45 - 2006 Opposes Measure 46 - 2006 Opposes Measure 47 - 2006,09/25/2006,10/08/2007,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/06/2006,09/24/2006,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,04/04/2006,09/05/2006,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/24/2004,04/03/2006,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,12/15/2003,09/23/2004,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,08/05/2003,12/14/2003,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,09/23/2002,08/04/2003,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,07/31/2002,09/22/2002,Amendment,216
Parent's Education Association P.A.C.,Miscellaneous,04/15/2002,07/30/2002,Amendment,216
Parent's Education Association,Measure Opposes Measure 1 - 2000 Opposes Measure 4 - 2000 Opposes Measure 6 - 2000 Opposes Measure 90 - 2000 Opposes Measure 89 - 2000 Opposes Measure 97 - 2000 Opposes Measure 99 - 2000 Supports Measure 2 - 2000 Supports Measure 3 - 2000 Supports Measure 7 - 2000 Supports Measure 8 - 2000 Supports Measure 9 - 2000 Supports Measure 86 - 2000 Supports Measure 87 - 2000 Supports Measure 88 - 2000 Supports Measure 91 - 2000 Supports Measure 92 - 2000 Supports Measure 93 - 2000 Supports Measure 95 - 2000 Supports Measure 98 - 2000,11/22/2000,04/14/2002,Amendment,216
Parents Education Association,Measure Opposes Measure 1 - 2000 Opposes Measure 4 - 2000 Opposes Measure 6 - 2000 Opposes Measure 85 - 2000 Opposes Measure 89 - 2000 Opposes Measure 97 - 2000 Opposes Measure 99 - 2000 Supports Measure 2 - 2000 Supports Measure 3 - 2000 Supports Measure 7 - 2000 Supports Measure 8 - 2000 Supports Measure 9 - 2000 Supports Measure 86 - 2000 Supports Measure 87 - 2000 Supports Measure 88 - 2000 Supports Measure 91 - 2000 Supports Measure 92 - 2000 Supports Measure 93 - 2000 Supports Measure 95 - 2000 Supports Measure 98 - 2000,09/06/2000,11/21/2000,Amendment,216
Parents Education Association PAC,Measure Supports Measure 69 - 1999 Supports Measure 71 - 1999 Supports Measure 74 - 1999,10/21/1999,09/05/2000,Amendment,216
Parents Education Association PAC,Measure Supports Measure 69 - 1999 Supports Measure 71 - 1999 Supports Measure 74 - 1999,09/07/1999,10/20/1999,Amendment,216
Parents Education Association PAC,Measure Supports Measure 56 - 1998 Supports Measure 59 - 1998 Supports Measure 65 - 1998,09/03/1998,09/06/1999,Amendment,216
Parents Education Association PAC,Measure Supports Measure 51 - 1997 Opposes Measure 52 - 1997,09/30/1997,09/02/1998,Amendment,216
Parents Education Association,Measure Supports Measure 31 - 1996,04/22/1996,09/29/1997,Amendment,216
Parents Education Association Political Action Committee,Measure Supports Measure 31 - 1996,03/21/1996,04/21/1996,Amendment,216
Parents Education Association Political Action Committee,Measure Supports Measure 31 - 1996,10/04/1995,03/20/1996,Amendment,216
Parents Education Association,Miscellaneous,09/09/1993,10/03/1995,Amendment,216
Parents Education Association,Miscellaneous,10/14/1992,09/08/1993,Amendment,216
Parents Education Association,Miscellaneous,09/16/1992,10/13/1992,Amendment,216
Parents Education Association,Miscellaneous,10/02/1989,09/15/1992,Amendment,216
Parents Education Association,Miscellaneous,03/13/1989,10/01/1989,Amendment,216
Parents Education Association Political Action Committee,Miscellaneous,12/17/1985,03/12/1989,Original,216
People for Oregon Libraries Political Action Committee,Miscellaneous,03/12/2018,,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,09/26/2017,03/12/2018,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,01/12/2011,09/26/2017,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,09/08/1999,01/12/2011,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,04/17/1998,09/07/1999,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,04/16/1998,04/16/1998,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,10/25/1995,04/15/1998,Amendment,167
People for Oregon Libraries Political Action Committee,Miscellaneous,09/18/1995,10/24/1995,Amendment,167
People for Oregon Libraries,Miscellaneous,10/23/1991,09/17/1995,Amendment,167
Oregon Library Political Action Committee,Miscellaneous,10/27/1989,10/22/1991,Amendment,167
Oregon Library Political Action Committee,Miscellaneous,01/08/1988,10/26/1989,Amendment,167
Oregon Library Political Action Committee,Miscellaneous,04/28/1986,01/07/1988,Original,167
Plumbers & Steamfitters PAC,Miscellaneous,02/13/2012,,Amendment,221
Plumbers and Steamfitters PAC,Miscellaneous,01/28/2011,02/13/2012,Amendment,221
Plumbers and Steamfitters PAC,Miscellaneous,08/12/2008,01/28/2011,Amendment,221
Plumbers and Steamfitters PAC,Miscellaneous,05/25/2006,08/11/2008,Amendment,221
Plumbers and Steamfitters,Miscellaneous,04/08/2002,05/24/2006,Amendment,221
Plumbers & Steamfitters,Miscellaneous,09/22/1994,04/07/2002,Amendment,221
Plumbing & Pipefitting Industry PAC 290,Miscellaneous,12/04/1990,09/21/1994,Amendment,221
Plumbing & Pipefitting Industry PAC 290,Miscellaneous,10/26/1990,12/03/1990,Amendment,221
Plumbing & Pipefitting Industry PAC 290,Miscellaneous,01/25/1988,10/25/1990,Amendment,221
Plumbing & Pipefitting Industry PAC 290,Miscellaneous,10/14/1985,01/24/1988,Original,221
Polk County Democratic Central Committee,"Political Party, Democrat",05/17/2017,,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/02/2017,05/17/2017,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/02/2017,02/02/2017,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/21/2016,02/02/2017,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/20/2016,12/21/2016,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/16/2015,12/20/2016,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/02/2015,03/16/2015,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",01/19/2015,02/02/2015,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",07/29/2014,01/19/2015,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",06/17/2014,07/29/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",06/10/2014,06/17/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",05/08/2014,06/10/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",04/26/2014,05/08/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",04/17/2014,04/26/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/30/2011,04/17/2014,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/30/2011,12/30/2011,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/02/2011,12/30/2011,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/10/2010,02/02/2011,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",10/07/2010,12/10/2010,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/04/2010,10/07/2010,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/01/2010,03/04/2010,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",05/18/2009,02/01/2010,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/06/2009,05/17/2009,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",05/25/2008,02/05/2009,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",05/15/2008,05/24/2008,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/29/2008,05/14/2008,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",01/19/2008,03/28/2008,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",09/17/2007,01/18/2008,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",06/06/2007,09/16/2007,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",07/12/2006,06/05/2007,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/28/2006,07/11/2006,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",12/27/2005,03/27/2006,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",01/24/2005,12/26/2005,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/28/2003,01/23/2005,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",07/31/2002,03/27/2003,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",06/06/2002,07/30/2002,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",10/29/2001,06/05/2002,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",02/12/2001,10/28/2001,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",06/25/1999,02/11/2001,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",03/05/1999,06/24/1999,Amendment,337
Polk County Democratic Central Committee,"Political Party, Democrat",04/02/1998,03/04/1999,Amendment,337
