committee_name,committee_description,effective,expiration,filing_type,committee_id
AFT-Oregon Legislative PAC,Miscellaneous,06/07/1999,07/19/2001,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,12/10/1998,06/06/1999,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,08/28/1998,12/09/1998,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,08/05/1998,08/27/1998,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,05/14/1998,08/04/1998,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,10/06/1997,05/13/1998,Amendment,113
OFTEHP Legislative PAC,Miscellaneous,12/12/1996,10/05/1997,Amendment,113
OFTEHP Cope,Miscellaneous,07/08/1996,12/11/1996,Amendment,113
OFTEHP Cope,Miscellaneous,09/11/1995,07/07/1996,Amendment,113
OFTEHP Cope,Miscellaneous,07/24/1995,09/10/1995,Amendment,113
OFTEHP Cope,Miscellaneous,02/28/1995,07/23/1995,Amendment,113
OFTEHP Cope,Miscellaneous,07/05/1994,02/27/1995,Amendment,113
OFTEHP Cope,Miscellaneous,04/08/1994,07/04/1994,Amendment,113
OFTEHP Cope,Miscellaneous,09/28/1993,04/07/1994,Amendment,113
OFTEHP Cope,Miscellaneous,07/12/1993,09/27/1993,Amendment,113
OFTEHP Cope,Miscellaneous,09/23/1992,07/11/1993,Amendment,113
OFTEHP Cope,Miscellaneous,08/13/1992,09/22/1992,Amendment,113
OFTEHP Cope,Miscellaneous,02/03/1992,08/12/1992,Amendment,113
OFT Cope Sl,Miscellaneous,10/08/1990,02/02/1992,Amendment,113
OFT Cope Sl,Miscellaneous,06/18/1986,10/07/1990,Original,113
Friends of Jessica Adamson,"Director, Sherwood School District, Position 1, Nonpartisan",03/19/2015,,Amendment,12510
Friends of Jessica Adamson,"Director, Sherwood School District, Position 1, Nonpartisan",03/06/2015,03/19/2015,Amendment,12510
Friends of Jessica Adamson,"State Representative, 26th District, Democrat",04/30/2013,03/06/2015,Amendment,12510
Friends of Jessica Adamson,"State Representative, 26th District, Democrat",02/10/2010,04/30/2013,Amendment,12510
Friends of Jessica Adamson,"State Representative, 26th District, Democrat",01/09/2009,02/10/2010,Amendment,12510
Friends of Jessica Adamson,"State Representative, 26th District, Democrat",07/17/2008,01/08/2009,Amendment,12510
Friends of Jessica Adamson,"State Representative, 26th District, Democrat",10/26/2007,07/16/2008,Original,12510
Alliance - PAC,Miscellaneous,11/10/2016,,Amendment,4797
Alliance - PAC,Miscellaneous,09/20/2016,11/10/2016,Amendment,4797
Alliance - PAC,Miscellaneous,09/01/2016,09/20/2016,Amendment,4797
Alliance - PAC,Miscellaneous,09/01/2015,09/01/2016,Amendment,4797
Alliance - PAC,Miscellaneous,05/14/2014,09/01/2015,Amendment,4797
Alliance - PAC,Miscellaneous,04/22/2014,05/14/2014,Amendment,4797
Alliance - PAC,Miscellaneous,02/25/2014,04/22/2014,Amendment,4797
Alliance - PAC,Miscellaneous,01/06/2014,02/25/2014,Amendment,4797
Alliance - PAC,Miscellaneous,07/01/2011,01/06/2014,Amendment,4797
Alliance - PAC,Miscellaneous,10/05/2010,07/01/2011,Amendment,4797
Alliance - PAC,Miscellaneous,10/19/2009,10/05/2010,Amendment,4797
Alliance - PAC,Miscellaneous,08/13/2009,10/18/2009,Amendment,4797
Alliance - PAC,Miscellaneous,08/13/2009,08/13/2009,Amendment,4797
Alliance - PAC,Miscellaneous,05/11/2009,08/12/2009,Amendment,4797
Alliance - PAC,Miscellaneous,08/21/2007,05/10/2009,Amendment,4797
Alliance - PAC,Miscellaneous,05/16/2006,08/20/2007,Amendment,4797
Alliance - PAC,Miscellaneous,04/27/2006,05/15/2006,Amendment,4797
Alliance - PAC,Miscellaneous,01/28/2004,04/26/2006,Original,4797
Speech Hearing Action Committee,Miscellaneous,01/21/2011,,Amendment,255
Speech Hearing Action Committee,Miscellaneous,04/20/1998,01/21/2011,Amendment,255
Speech Hearing Action Committee,Miscellaneous,10/20/1995,04/19/1998,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,06/29/1994,10/19/1995,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,12/06/1990,06/28/1994,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,11/20/1989,12/05/1990,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,05/25/1989,11/19/1989,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,05/02/1988,05/24/1989,Amendment,255
Speech & Hearing Action Committee,Miscellaneous,03/28/1985,05/01/1988,Original,255
Citizens for Ken Strobeck,"State Representative, 6th District, Republican",01/26/2011,,Amendment,1602
Citizens for Ken Strobeck,"State Representative, 6th District, Republican",01/04/2007,01/26/2011,Amendment,1602
Citizens for Ken Strobeck,"State Representative, 6th District, Republican",10/09/2006,01/03/2007,Amendment,1602
"Strobeck, Ken, Citizens for","State Representative, 6th District, Republican",09/12/2005,10/08/2006,Amendment,1602
"Strobeck, Ken, Citizens for","State Representative, 6th District, Republican",12/28/1999,09/11/2005,Amendment,1602
"Strobeck, Ken, Citizens for","State Representative, 6th District, Republican",11/26/1997,12/27/1999,Amendment,1602
"Strobeck, Ken, Citizens for","State Representative, 6th District, Republican",10/05/1995,11/25/1997,Amendment,1602
"Strobeck, Ken, Citizens for","State Representative, 6th District, Republican",11/17/1993,10/04/1995,Original,1602
Citizens for Centennial Schools,Measure Supports Measure 26-17 - 2000 Supports Measure 26-97 - 2008 Supports Measure 26-175 - 2016,03/23/2016,,Amendment,5608
Citizens for Centennial Schools,Measure Supports Measure 26-17 - 2000 Supports Measure 26-97 - 2008,01/12/2016,03/23/2016,Amendment,5608
Citizens for Centennial Schools,Measure Supports Measure 26-17 - 2000 Supports Measure 26-97 - 2008,10/19/2008,01/12/2016,Amendment,5608
Citizens for Centennial Schools,Measure Supports Measure 26-17 - 2000,07/22/2007,10/18/2008,Amendment,5608
Citizens for Centennial Schools,Measure Supports Measure 26-17 - 2000,01/13/2000,07/21/2007,Original,5608
Friends of Clackamas Community College,Measure,12/14/2012,,Amendment,11247
Friends of Clackamas Community College,Measure Supports Measure 3-373 - 2011,04/06/2011,12/14/2012,Amendment,11247
Friends of Clackamas Community College,Measure Supports Measure 3-97 - 2000,05/21/2010,04/06/2011,Amendment,11247
Friends of Clackamas Community College,Measure Supports Measure 3-97 - 2000,12/04/2005,05/21/2010,Original,11247
Committee to Elect Carolyn Oakley,"County Commissioner, Benton County, Position 3, Republican",03/02/2011,,Amendment,9366
Committee to Elect Carolyn Oakley,"County Commissioner, Benton County, Position 3, Republican",11/10/1999,03/02/2011,Original,9366
Bartel for Eugene Water & Electric Board,"Board Member, Eugene Water and Electric Board, At Large, Nonpartisan",03/07/2002,,Original,6044
Constitution Party Of Columbia County,Political PartyConstitution,02/04/2009,,Amendment,13082
Constitution Party Of Columbia County,Political PartyConstitution,06/12/2008,02/03/2009,Amendment,13082
Constitution Party Of Columbia County,Political PartyConstitution,06/12/2008,06/12/2008,Original,13082
Committee to Re-Elect Steve Druckenmiller,"County Clerk, Linn County, Nonpartisan",01/11/2011,,Amendment,6888
Committee to Re-Elect Steve Druckenmiller,"County Clerk, Linn County, Nonpartisan",05/18/2009,01/11/2011,Amendment,6888
Committee to Re-Elect Steve Druckenmiller,"County Clerk, Linn County, Nonpartisan",05/07/2009,05/17/2009,Amendment,6888
Committee to Re-Elect Steve Druckenmiller,"County Clerk, Linn County, Nonpartisan",08/08/2001,05/06/2009,Original,6888
"Jones, Dick, Citizens for","State Representative, 40th District, Republican",01/05/2010,,Amendment,3061
"Jones, Dick, Citizens for","State Representative, 40th District, Republican",12/24/2001,01/05/2010,Amendment,3061
"Jones, Dick, Citizens for","State Representative, 25th District, Republican",11/23/1999,12/23/2001,Amendment,3061
"Jones, Dick, for State Senate","State Senator, 12th District, Republican",03/11/1998,11/22/1999,Original,3061
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",12/20/2017,,Amendment,5788
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",12/20/2017,12/20/2017,Amendment,5788
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",01/24/2014,12/20/2017,Amendment,5788
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",03/02/2011,01/24/2014,Amendment,5788
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",11/13/2009,03/02/2011,Amendment,5788
Committee to Elect Scot Langton Deschutes County Assessor,"County Assessor, Deschutes County, Nonpartisan",11/27/2001,11/12/2009,Original,5788
Yes for Student Success,Miscellaneous,09/07/2016,,Amendment,5592
Yes for Student Success,Measure Supports Measure 26-153 - 2013,08/16/2016,09/07/2016,Amendment,5592
Yes for Student Success,Measure Supports Measure 26-153 - 2013,07/26/2016,08/16/2016,Amendment,5592
Yes for Student Success,Measure Supports Measure 26-153 - 2013,07/15/2016,07/26/2016,Amendment,5592
Citizens for Schools,Measure Supports Measure 26-153 - 2013,09/03/2013,07/15/2016,Amendment,5592
Citizens for Schools,Measure Supports Measure 26-44 - 2002,08/31/2013,09/03/2013,Amendment,5592
Citizens for Schools,Measure Supports Measure 26-44 - 2002,06/13/2013,08/31/2013,Amendment,5592
Citizens for Schools,Measure Supports Measure 26-44 - 2002,01/16/2007,06/13/2013,Amendment,5592
Citizens for Schools,Measure Supports Measure 26-44 - 2002,09/24/2002,01/15/2007,Original,5592
Bill Burgess for County Clerk,"County Clerk, Marion County, Nonpartisan",10/04/2012,,Amendment,10527
Bill Burgess for County Clerk,"County Clerk, Marion County, Nonpartisan",07/08/2008,10/04/2012,Amendment,10527
Bill Burgess for County Clerk,"County Clerk, Marion County, Nonpartisan",02/04/2008,07/07/2008,Amendment,10527
Bill Burgess for County Clerk,"County Clerk, Marion County, Nonpartisan",11/26/2007,02/03/2008,Amendment,10527
Bill Burgess for County Clerk,"County Clerk, Marion County, Nonpartisan",04/12/2004,11/25/2007,Original,10527
Coalition for Excellent Schools,Miscellaneous,09/11/2014,,Amendment,6845
Coalition for Excellent Schools,Miscellaneous,09/10/2014,09/11/2014,Amendment,6845
Coalition for Excellent Schools,Miscellaneous,09/10/2014,09/10/2014,Amendment,6845
Coalition for Excellent Schools,Miscellaneous,10/22/2008,09/10/2014,Amendment,6845
Coalition for Excellent Schools,Miscellaneous,10/01/2008,10/21/2008,Amendment,6845
Coalition for Excellent Schools,Miscellaneous,08/22/2002,09/30/2008,Original,6845
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/24/2018,,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",12/28/2017,01/24/2018,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",12/15/2017,12/28/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",09/15/2017,12/15/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",09/15/2017,09/15/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",09/13/2017,09/15/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",07/14/2017,09/13/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",04/20/2017,07/14/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",04/05/2017,04/20/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",12/13/2016,04/05/2017,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",06/26/2015,12/13/2016,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",04/22/2014,06/26/2015,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/16/2014,04/22/2014,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/09/2014,01/16/2014,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",07/31/2013,01/09/2014,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",04/30/2013,07/31/2013,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",03/30/2011,04/30/2013,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",09/08/2010,03/30/2011,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",05/04/2010,09/08/2010,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/27/2010,05/04/2010,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",11/17/2009,01/27/2010,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/02/2009,11/16/2009,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/02/2009,01/02/2009,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",06/26/2008,01/01/2009,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/31/2008,06/25/2008,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 2, Nonpartisan",01/15/2008,01/30/2008,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 1, Nonpartisan",02/15/2007,01/14/2008,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 1, Nonpartisan",01/24/2007,02/14/2007,Amendment,5709
Nick Fish for City Council,"City Commissioner, City of Portland, Position 1, Nonpartisan",06/07/2002,01/23/2007,Original,5709
Committee to Re-Elect Tony Hyde,"County Commissioner, Columbia County, Position 3, Nonpartisan",03/16/2012,,Amendment,6606
Committee to Re-Elect Tony Hyde,"County Commissioner, Columbia County, Position 3, Nonpartisan",07/01/2008,03/16/2012,Amendment,6606
Committee to Re-Elect Tony Hyde,"County Commissioner, Columbia County, Position 3, Nonpartisan",05/05/2008,06/30/2008,Amendment,6606
Committee to Re-Elect Tony Hyde,"County Commissioner, Columbia County, Position 3, Nonpartisan",02/02/2004,05/04/2008,Original,6606
Jaramillo for Commissioner Committee,"County Commissioner, Benton County, Position 3, Democrat",02/09/2011,,Amendment,9686
Jaramillo for Commissioner Committee,"County Commissioner, Benton County, Position 3, Democrat",10/17/1997,02/09/2011,Original,9686
Friends of Bill Kennemer,"State Representative, 39th District, Republican",09/25/2011,,Amendment,5885
Friends of Bill Kennemer,"State Representative, 39th District, Republican",05/22/2010,09/25/2011,Amendment,5885
Friends of Bill Kennemer,"State Representative, 39th District, Republican",03/04/2010,05/22/2010,Amendment,5885
Friends of Bill Kennemer,"State Representative, 39th District, Republican",04/12/2009,03/04/2010,Amendment,5885
Friends of Bill Kennemer,"State Representative, 39th District, Republican",06/26/2008,04/11/2009,Amendment,5885
Friends of Bill Kennemer,"State Representative, 39th District, Republican",10/31/2007,06/25/2008,Amendment,5885
Friends of Bill Kennemer,"County Commissioner, Clackamas County, Position 4, Nonpartisan",03/07/1996,10/30/2007,Original,5885
Citizens for Leslie Lewis,"County Commissioner, Yamhill County, Position 2, Nonpartisan",09/10/2013,,Amendment,5726
Citizens for Leslie Lewis,"County Commissioner, Yamhill County, Position 2, Nonpartisan",06/25/2008,09/10/2013,Amendment,5726
Citizens for Leslie Lewis,"County Commissioner, Yamhill County, Position 2, Nonpartisan",02/14/2008,06/24/2008,Amendment,5726
Citizens for Leslie Lewis,"County Commissioner, Yamhill County, Position 2",02/11/2008,02/13/2008,Amendment,5726
Citizens for Leslie Lewis,"County Commissioner, Yamhill County, Position 2, Nonpartisan",02/22/2000,02/10/2008,Original,5726
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",10/02/2012,,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",04/26/2011,10/02/2012,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",07/26/2010,04/26/2011,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",11/10/2009,07/26/2010,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",11/03/2009,11/09/2009,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",02/23/2009,11/02/2009,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",09/22/2008,02/22/2009,Amendment,5773
Friends of John McArdle,"Mayor, City of Independence, Nonpartisan",05/07/2008,09/21/2008,Amendment,5773
Friends of John McArdle,"County Commissioner, Polk County, Position 1, Nonpartisan",08/07/2006,05/06/2008,Original,5773
Medford Education Association Political Action Committee,Miscellaneous,12/22/2010,,Amendment,92
Medford Education Association Political Action Committee,Miscellaneous,01/26/2008,12/22/2010,Amendment,92
Medford Education Association Political Action Comiittee,Miscellaneous,12/28/2006,01/26/2008,Amendment,92
Medford Education Association LoPAC,Miscellaneous,12/29/2003,12/27/2006,Amendment,92
Medford Education Association LoPAC,Miscellaneous,01/16/2003,12/28/2003,Amendment,92
Medford Education Association LoPAC,Miscellaneous,10/18/1995,01/15/2003,Amendment,92
Medford Education Association LoPAC,Miscellaneous,01/06/1995,10/17/1995,Amendment,92
Medford Education Assoc LoPAC,Measure Supports Measure 1 - 1993,09/10/1993,01/05/1995,Amendment,92
Medford Education Association Political,Miscellaneous,08/27/1992,09/09/1993,Amendment,92
Medford Education Assoc Local PAC,Miscellaneous,11/16/1987,08/26/1992,Amendment,92
Medford Education Assoc Local PAC,Miscellaneous,09/24/1981,11/15/1987,Original,92
Friends of Roger Nyquist,"County Commissioner, Linn County, Position 2, Republican",08/27/2016,,Amendment,10727
Friends of Roger Nyquist,"County Commissioner, Linn County, Position 2, Republican",05/11/2011,08/27/2016,Amendment,10727
Friends of Roger Nyquist,"County Commissioner, Linn County, Position 2, Republican",06/27/2008,05/11/2011,Amendment,10727
Friends of Roger Nyquist,"County Commissioner, Linn County, Position 2, Republican",03/28/2008,06/26/2008,Amendment,10727
Friends of Roger Nyquist,"County Commissioner, Linn County, Position 2, Republican",10/18/1999,03/27/2008,Original,10727
Committee to Elect Tassi (Mills) O'Neil,"County Clerk, Tillamook County, Nonpartisan",03/14/2011,,Amendment,5673
Committee to Elect Tassi (Mills) O'Neil,"County Clerk, Tillamook County, Nonpartisan",09/15/1999,03/14/2011,Original,5673
Oregon First,Miscellaneous,11/16/2010,,Amendment,151
Oregon First,Miscellaneous,02/26/2004,11/16/2010,Amendment,151
Oregon First,Miscellaneous,11/20/1995,02/25/2004,Amendment,151
Oregon First,Miscellaneous,03/15/1989,11/19/1995,Amendment,151
Oregon First,Miscellaneous,12/30/1981,03/14/1989,Original,151
Protect Marriage Oregon,Measure Supports Measure 36 - 2004,11/21/2011,,Amendment,4947
Defense of Marriage Coalition PAC,Measure Supports Measure 36 - 2004,09/28/2010,11/21/2011,Amendment,4947
Defense of Marriage Coalition PAC,Measure Supports Measure 36 - 2004,03/21/2008,09/28/2010,Amendment,4947
Defense of Marriage Coalition PAC,Measure Supports Measure 36 - 2004,02/10/2006,03/20/2008,Amendment,4947
Defense of Marriage Coalition PAC,Measure Supports Measure 36 - 2004,09/27/2004,02/09/2006,Amendment,4947
Defense of Marriage Coalition PAC,Measure Supports Measure 36 - 2004,08/03/2004,09/26/2004,Amendment,4947
Defense of Marriage Coalition PAC,Political Action Committee,05/18/2004,08/02/2004,Original,4947
Chris Pryor for City Council,"City Councilor, City of Eugene, Ward 8, Nonpartisan",03/05/2012,,Amendment,6029
Chris Pryor for City Council,"City Councilor, City of Eugene, Ward 8, Nonpartisan",04/29/2011,03/05/2012,Amendment,6029
Chris Pryor for City Council,"City Councilor, City of Eugene, Ward 8, Nonpartisan",01/13/2004,04/29/2011,Original,6029
Supporters of Katherine Schacht,"Director, Emerald People's Utility District, Subdivision 4, Nonpartisan",03/26/2013,,Amendment,6204
Supporters of Katherine Schacht,"Director, Emerald People's Utility District, Subdivision 4, Nonpartisan",09/18/2012,03/26/2013,Amendment,6204
Supporters of Katherine Schacht,"Director, Emerald People's Utility District, Subdivision 4, Nonpartisan",01/25/2011,09/18/2012,Amendment,6204
Supporters of Katherine Schacht,"Director, Emerald People's Utility District, Subdivision 4, Nonpartisan",09/05/2000,01/25/2011,Original,6204
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",07/01/2015,,Amendment,5724
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",03/30/2015,07/01/2015,Amendment,5724
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",02/26/2015,03/30/2015,Amendment,5724
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",04/30/2013,02/26/2015,Amendment,5724
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",10/01/2012,04/30/2013,Amendment,5724
Friends of Martha Schrader,"County Commissioner, Clackamas County, Position 3, Nonpartisan",05/23/2011,10/01/2012,Amendment,5724
Friends of Martha Schrader,"State Senator, 20th District, Democrat",01/11/2009,05/23/2011,Amendment,5724
Martha Schrader for County Commissioner,"County Commissioner, Clackamas County, Position 3, Nonpartisan",01/16/2008,01/10/2009,Amendment,5724
Martha Schrader for County Commissioner,"County Commissioner, Clackamas County, Position 3, Nonpartisan",01/25/2007,01/15/2008,Amendment,5724
Martha Schrader for County Commissioner,"County Commissioner, Clackamas County, Position 3, Nonpartisan",11/07/2003,01/24/2007,Original,5724
Yes For Schools,Measure Supports Measure 20-222 - 2014,08/28/2014,,Amendment,5580
Yes For Schools,Measure Supports Measure 20-22 - 2014,08/26/2014,08/28/2014,Amendment,5580
Yes For Schools,Measure Supports Measure 20-210 - 2013,04/09/2013,08/26/2014,Amendment,5580
Yes For Schools,Measure Supports Measure 20-210 - 2013,02/26/2013,04/09/2013,Amendment,5580
Yes For Schools,Measure Supports Measure 20-183 - 2011,03/24/2011,02/26/2013,Amendment,5580
Yes For Schools,Measure Supports Measure 20-137 - 2008,09/30/2008,03/24/2011,Amendment,5580
Yes For Schools,Measure Supports Measure 20-137 - 2008,08/06/2008,09/29/2008,Amendment,5580
Yes For Schools,Measure Supports Measure 20-90 - 2004,01/21/2008,08/05/2008,Amendment,5580
Yes For Schools,Measure Supports Measure 20-90 - 2004,08/25/2004,01/20/2008,Original,5580
Our Town Our Kids,Miscellaneous,03/22/2017,,Amendment,5670
Our Town Our Kids,Miscellaneous,01/03/2012,03/22/2017,Amendment,5670
Our Town Our Kids,Measure Supports Measure 23-48 - 2010,03/23/2010,01/03/2012,Amendment,5670
Our Town Our Kids,Measure Supports Measure 23-47 - 2008,09/17/2008,03/23/2010,Amendment,5670
Our Town Our Kids,Measure Supports Measure 23-35 - 2005,12/29/2005,09/16/2008,Original,5670
Alliance for Healthy Communities,Miscellaneous,09/19/2013,,Amendment,4985
Health Center Political Action Committee,Miscellaneous,04/30/2012,09/19/2013,Amendment,4985
Health Center Political Action Committee,Miscellaneous,03/14/2006,04/30/2012,Amendment,4985
Health Center Political Action Committee,Miscellaneous,02/14/2006,03/13/2006,Amendment,4985
Health Center PAC,Miscellaneous,07/29/2004,02/13/2006,Original,4985
"Shari Anderson, Treasurer","County Treasurer, Clackamas County, Nonpartisan",12/21/2009,,Amendment,6285
"Shari Anderson, Treasurer","County Treasurer, Clackamas County, Nonpartisan",03/06/1998,12/20/2009,Original,6285
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",12/31/2013,,Amendment,4193
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",04/30/2013,12/31/2013,Amendment,4193
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",03/07/2011,04/30/2013,Amendment,4193
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",08/02/2008,03/07/2011,Amendment,4193
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",12/17/2007,08/01/2008,Amendment,4193
Re-Elect Supreme Court Justice Tom Balmer Committee,"Judge of the Supreme Court, Position 1, Nonpartisan",11/02/2007,12/16/2007,Amendment,4193
"Balmer, Tom, Re-Elect Supreme Court Justice, Committee","Judge of the Supreme Court, Position 1, Nonpartisan",06/18/2002,11/01/2007,Amendment,4193
"Balmer, Tom, Retain Supreme Court Justice, Committee","Judge of the Supreme Court, Position 1, Nonpartisan",09/28/2001,06/17/2002,Original,4193
Friends of Tammy Baney,"County Commissioner, Deschutes County, Position 3, Republican",12/28/2017,,Amendment,5783
